"new_key","fish_count_new","FMU_Code","z_lake_area","z_max_depth","z_secchi","z_doy","z_temp_mean_contemp","z_ws_forest","z_ws_wetland","z_temp_mean_hist","temp_mean_contemp","temp_mean_hist","group","effort","gear","gear_index","IND","doy_median","site","z_temp_change","dens_change","sum_dens_hist","sum_dens_cont"
"44-79",25,"MI-MSH",-0.934368508960084,0.794981812660573,0.858815969186042,0.225712849999493,0.763323759127167,0.196487945047036,-0.371473642172278,0.846637575129658,16.81238,16.88677,6,1,"seine",3,1,-0.1325897,112,-0.0833138160024911,-0.958634769088943,20.1306157584925,19.1719809894036
"44-81",32,"MI-MSH",-0.508987441795663,0.794981812660573,0.332041889479204,-0.311740930352933,0.598476227424365,0.394030903411582,-0.218746040580794,0.693208471746457,16.64795,16.72184,6,1,"seine",3,1,-0.1325897,113,-0.0947322443220925,-0.754630294003155,14.0838418753033,13.3292115813002
"46-163",6,"MI-MER",0.610594042635406,0.814796428780787,0.73050535905753,-1.16270941591094,0.820281322612306,-1.46145920969442,1.65389882294804,1.12474333136806,16.86957,17.18988,2,1,"seine",3,1,-0.1325897,114,-0.304462008755754,-3.45645080608687,20.1971318015657,16.7406809954789
"46-80",35,"MI-MER",0.661734298686319,0.510949359235584,0.592681857621888,-0.446104375441039,1.21821300969236,0.65445387286944,-0.50629586530708,1.53913315322827,17.27459,17.65165,2,1,"seine",3,1,-0.1325897,115,-0.320920143535908,-2.8529774628118,13.9130842666067,11.0601068037949
"46-91",41,"MI-MER",-0.763537720541224,0.461084621479215,0.282000318129149,-0.893982525734728,0.749121491867316,-1.06743142978729,1.09193752869822,1.06225231936659,16.79815,17.1213,2,1,"seine",3,1,-0.1325897,116,-0.313130827499272,-2.98484141530956,18.6302147743396,15.6453733590301
"47-101",5,"MI-MER",0.492999088060112,-2.31184166458285,-0.448967000666553,-0.535680005499777,0.372238355562567,-0.245390153986201,0.684156010626103,0.53115684902939,16.4249,16.54939,2,1,"seine",3,1,-0.1325897,117,-0.158918493466823,-0.320016382766139,4.037992235349,3.71797585258286
"47-153",69,"MI-MER",0.700210706170314,0.852923504042565,0.364670203493031,-0.401316560411671,1.116940300348,-1.5652795661686,-0.891889782525019,1.1959592393116,17.1706,17.26837,2,1,"seine",3,1,-0.1325897,118,-0.0790189389636025,-0.759680015234591,13.6086506185171,12.8489706032825
"47-252",31,"MI-MSH",0.260100013425383,0.889960828598049,1.6537618984709,-0.714831265617252,-0.00621507008350906,-1.21482253958669,0.107751586751561,0.0951458434123503,16.05844,16.09418,6,1,"seine",3,1,-0.1325897,119,-0.101360913495859,-0.888708460702056,16.2006169943568,15.3119085336547
"47-379",37,"MI-MSH",0.145377355045127,0.510949359235584,0.104745667632915,-0.356528745382302,1.38107095958415,-2.36787782425639,-1.17360740876224,1.37055594288849,17.44314,17.46232,6,1,"seine",3,1,-0.1325897,120,0.0105150166956578,0.176624173115649,22.3839785189705,22.5606026920861
"47-469",88,"MI-MSH",-0.400673835353373,0.693184140988442,-0.197501543591449,-0.580467820529146,0.518614712566474,-0.0506802322661846,1.23020025821191,0.647877459886114,16.56887,16.67342,6,1,"seine",3,1,-0.1325897,121,-0.12926274731964,-1.03225357969057,14.9522482198486,13.919994640158
"47-485",14,"MI-MSH",-1.297436934065,0.0101255290116841,-0.219510867866555,-0.222165300294195,0.926171662959249,-0.808256331175054,2.05634912001983,1.02993394337319,16.97641,17.08594,6,1,"seine",3,1,-0.1325897,122,-0.103762280413943,-1.42224352585713,26.040734898033,24.6184913721758
"47-68",51,"MI-MER",-0.494091446476452,0.534786595970762,0.519740501132261,-1.34186067602842,1.6297889298526,0.373020289199678,0.295630143496264,1.66746923393934,17.70373,17.79716,2,1,"seine",3,1,-0.1325897,123,-0.0376803040867359,-0.510664225410855,20.8241166359206,20.3134524105097
"47-73",14,"MI-MER",-1.42211456212685,-0.363472931177793,0.364670203493031,-0.759619080646621,1.13027829856311,0.0393994558957043,1.06355181102075,1.22492789145509,17.18426,17.3004,2,1,"seine",3,1,-0.1325897,124,-0.0946495928919755,-0.947481686136615,18.8944435917246,17.946961905588
"48-105",3,"MI-MES",-0.164421346631572,-2.55237070647751,-1.74433110022621,-0.580467820529146,0.0392828193793415,-2.51358103833245,5.08727286163807,0.0135181838464625,16.10206,16.01036,3,1,"seine",3,1,-0.1325897,125,0.025764635532879,0.0181720250386461,1.4336956719355,1.45186769697414
"48-171",0,"MI-MES",-0.265687034496595,0.943317482942444,1.29844382764808,0.807954445381287,-1.40643125304466,1.58091104381946,-0.572756851924403,-1.21223061734435,14.77227,14.80293,3,1,"seine",3,1,-0.1325897,126,-0.194200635700307,-0.0732349542601241,0.804804544341104,0.73156959008098
"48-175",0,"MI-MES",-2.12705440976207,1.98241631809849,1.19789143723982,-1.29707286099905,-0.654269096213114,1.57637876911661,-0.406735030110878,-0.539056563634617,15.44981,15.45431,3,1,"seine",3,1,-0.1325897,127,-0.115212532578498,-0.152817413413959,2.61195064703277,2.45913323361881
"48-223",0,"MI-MES",-1.47412482694301,-0.963456698623848,0.73050535905753,0.225712849999493,-0.261981703642238,2.16426019866659,-1.26748593990461,-0.210154683450352,15.81542,15.78291,3,1,"seine",3,1,-0.1325897,128,-0.0518270201918865,-0.0243521070500569,0.926906905505264,0.902554798455208
"48-24",5,"MI-MES",-0.909161025294434,-0.689379924883991,-0.310249165866433,-0.714831265617252,0.0961326967406704,-1.15217086192707,2.47616151244585,0.0384451062620952,16.15673,16.03591,3,1,"seine",3,1,-0.1325897,129,0.0576875904785752,0.0561456656560938,1.83161006532888,1.88775573098497
"48-28",72,"MI-MES",-0.558443717101978,0.693184140988442,0.592681857621888,0.71837881532255,-0.672636863294842,0.288474729203542,0.638318318749976,-0.683969271027374,15.4329,15.31171,3,1,"seine",3,1,-0.1325897,130,0.0113324077325319,0.00701196482963002,1.19919737416162,1.20620933899125
"48-43",6,"MI-MES",-0.369502598534088,-0.689379924883991,1.19789143723982,-0.132589670235458,-0.22306351791633,0.436679460410691,-0.783761193194525,-0.262200895831363,15.85216,15.73045,3,1,"seine",3,1,-0.1325897,131,0.0391373779150321,0.0217394547082302,1.00213380177637,1.0238732564846
"48-485",0,"MI-MES",-2.37177004160728,-0.888133998136871,-1.00709137684872,-0.446104375441039,0.0690476056989774,-0.909070340194088,-0.743813996826711,-0.0500585920541604,16.13066036,15.94537822,3,1,"seine",3,1,-0.1325897,132,0.119106197753138,0.0822441330157838,1.32048742346069,1.40273155647647
"48-49",0,"MI-MNM",1.47615656500487,0.461084621479215,1.09159015138641,0.449651925146337,-1.00750846558522,0.515372508522701,-0.154248474233089,-1.04563466769862,15.12783,14.96153,5,1,"seine",3,1,-0.1325897,133,0.0381262021133937,0.0294986928228402,1.44260035057197,1.47209904339481
"48-53",24,"MI-MNM",2.7554965034129,-0.751595771293803,-0.430275725791825,0.180925034970124,-0.3014262332761,-0.192349968766412,0.927377492609122,-0.407145701082822,15.77827,15.58527,5,1,"seine",3,1,-0.1325897,134,0.105719467806722,0.0672943571819912,1.01242504983444,1.07971940701643
"48-573",45,"MI-MES",-0.595878275174611,0.485848073679032,1.27876357843704,-0.222165300294195,-0.840564835735783,0.0841989496788548,-0.814511597790013,-0.970419028818647,15.27915529,15.03369128,3,1,"seine",3,1,-0.1325897,135,0.129854193082864,0.0677904581877764,0.992660331140069,1.06045078932785
"48-608",0,"MI-MES",-1.61760159722355,-2.31184166458285,-1.18434602734495,3.71916242229026,-0.324999997939517,1.26224216978519,-0.99135327106826,-0.505299326628256,15.75610922,15.48771876,3,1,"seine",3,1,-0.1325897,136,0.180299328688739,0.0379361218061485,0.430481307171538,0.468417428977687
"48-621",0,"MI-MES",-2.32292328103757,0.208879602264564,1.14550019255688,1.7932863760274,0.0921796050887719,2.55748272668583,-1.81756467828399,-0.0311621565939944,16.15292249,15.96466466,3,1,"seine",3,1,-0.1325897,137,0.123341761682766,0.120512787871818,1.74991714407492,1.87042993194674
"48-622",0,"MI-MES",-2.27328138593652,0.0450579557938886,1.52833688425969,1.7932863760274,-0.105204089061894,0.894716960008773,-0.284231807169696,-0.209272037821838,15.96394446,15.78380117,3,1,"seine",3,1,-0.1325897,138,0.104067948759944,0.135187806223876,2.46176258743108,2.59695039365495
"48-643",0,"MI-MES",-0.844770668108704,0.96100358246538,1.61288627073917,-0.0430140401767201,-0.762725684735171,0.61307274301415,0.860036994388531,-0.834587152151684,15.35022875,15.16489023,3,1,"seine",3,1,-0.1325897,139,0.0718614674165128,0.0663537997410638,1.79429547262994,1.86064927237101
"49-127",0,"MI-MNM",1.59817061202578,-0.411594099569675,-0.0912002577380448,-1.20749723094031,-0.17106656143821,-0.837468243259612,2.26095146197972,-0.337051364486792,15.90138,15.65531,5,1,"seine",3,1,-0.1325897,140,0.165984803048582,0.198219725191518,2.07367674118215,2.27189646637367
"49-166",0,"MI-MNH",1.03572927924887,-0.888133998136871,0.592681857621888,-0.893982525734728,-0.00596439985141012,0.870075380152315,0.224114432646211,-0.320753779175946,16.05868,15.67164,4,1,"seine",3,1,-0.1325897,141,0.314789379324536,0.338447254236203,1.81910473185649,2.15755198609269
"49-262",16,"MI-MNM",1.16587833342875,-1.41358213743429,-0.430275725791825,-0.670043450587884,-0.0406865498129528,-0.36286304973722,1.61285964375681,-0.246447711677224,16.02547,15.74631,5,1,"seine",3,1,-0.1325897,142,0.205761161864271,0.17090668508193,1.45798212735526,1.62888881243719
"49-280",99,"MI-MNM",2.10389758722982,-0.270813922735265,-0.0912002577380448,0.897530075440025,-0.353051120604767,0.0727388144267386,1.42355425217105,-0.478271128596837,15.72978,15.51452,5,1,"seine",3,1,-0.1325897,143,0.12522000799207,0.103008331736935,1.39877706840128,1.50178540013821
"49-336",0,"MI-MES",-0.869891558839885,-1.78875617783639,-1.38029195271591,-0.849194710705359,0.186805107778906,0.69714988241423,0.127849884202538,-0.145679952516598,16.24431,15.84814,3,1,"seine",3,1,-0.1325897,144,0.332485060295505,0.0961222575129532,0.511176098779917,0.607298356292871
"49-97",2,"MI-MNM",-0.196696006299327,-1.52827420706232,-1.00709137684872,-0.490892190470408,0.315365336565185,0.576859538004851,0.952481351287467,0.0606069079951772,16.3693,16.05866,5,1,"seine",3,1,-0.1325897,145,0.254758428570008,0.230332539960061,1.59805122923378,1.82838376919384
"5-51",0,"MI-MCM",3.17785721460611,2.7572392838445,1.98608684660636,-0.0878018552060889,-2.87601212884408,0.203439779779677,-0.991978426650219,-2.84171915616803,13.53303,13.3376,1,1,"seine",3,1,-0.1325897,146,-0.0342929726760479,-0.0531236377120618,3.57519336861788,3.52206973090582
"5-75",2,"MI-MCM",1.41474778325776,-0.57140023779664,0.104745667632915,0.494439740175706,0.526255766265525,0.348121877727387,-0.463433614817037,0.359272956393809,16.57642,16.36842,1,1,"seine",3,1,-0.1325897,147,0.166982809871715,0.800943752788564,7.27675181180264,8.07769556459121
"50-175",1,"MI-MER",0.597929214918712,-0.57140023779664,-0.558586335920342,-0.266953115323564,1.46707259653738,-0.80888307314105,-0.10700163677566,1.42779793847748,17.53281,17.52638,2,1,"seine",3,1,-0.1325897,148,0.0392746580598962,0.238781107293659,8.59231450534074,8.8310956126344
"51-126",3,"MI-MCM",1.53366991867666,0.943317482942444,1.19789143723982,-0.266953115323564,-0.29144750649397,0.789312541696982,-0.857744819923752,-0.33072193131034,15.78766,15.66165,1,1,"seine",3,1,-0.1325897,149,0.0392744248163695,0.192090537149642,8.37015951090977,8.56225004805941
"52-1152",0,"MI-MNM",-0.250145810877383,-0.363472931177793,-0.845270559291169,0.0913494049113864,-1.02813614459924,1.15153237773918,-0.350452618082066,-0.973037221489934,15.10923647,15.03117357,5,1,"seine",3,1,-0.1325897,150,-0.055098923109303,-0.0250051660817135,0.982316302573883,0.95731113649217
"52-1185",0,"MI-MNM",2.12692927979808,0.889960828598049,-1.18434602734495,-0.0430140401767201,-2.70055857190937,0.936232548816616,-0.281301112281839,-2.51614809144841,13.67533908,13.6182911,5,1,"seine",3,1,-0.1325897,151,-0.18441048046096,-0.0249856700454309,0.329410536766979,0.304424866721548
"52-1288",0,"MI-MWS",0.577605488026944,-0.142511222434605,1.29844382764808,-0.222165300294195,-1.46912323460432,-0.00231778289593721,-1.19977406453148,-1.37995822299217,14.71715755,14.64495103,8,1,"seine",3,1,-0.1325897,152,-0.0891650116121505,-0.0455665011139011,1.09492758796212,1.04936108684822
"52-1356",104,"MI-MNM",-0.456377499955355,-1.52827420706232,-0.430275725791825,1.56934730088056,-1.2613243042406,0.929711533483834,0.124792118168127,-1.19883799053758,14.90062634,14.81561745,5,1,"seine",3,1,-0.1325897,153,-0.0624863137030169,-0.0248117124938264,0.948882479241162,0.924070766747335
"52-1360",0,"MI-MNM",-1.40329632889321,-0.22614763199638,0.592681857621888,1.88286200608614,-1.08348750581941,0.619825298413958,0.831015759859745,-1.01926063130158,15.05945631,14.98679352,5,1,"seine",3,1,-0.1325897,154,-0.0642268745178236,-0.0792035914011875,2.85627402893155,2.77707043753036
