"ihdlkid","new_key","lake_area_ac","lake_perim_km","lake_order","lake_link_num","uplakes_n","uplakes_area_ac","downlakes_n","downlakes_area_ac","ws_area_km2","lake_area_km2","lake_area_m2","maxdepth_ft","meandepth_ft","maxdepth_m","meandepth_m","geom_ratio","ws_urban_prop","ws_forest_prop","ws_agriculture_prop","ws_shrub_prop","ws_wetland_prop","ws_slope_deg","ws_mean_elevation_m","lake_area_ha","dd_mean","surface_temp_mean"
145333538,"47-138",7.005904795,1.24,5,77,10,378,12,3859.742902,0.3595,0.03,28351.3609121444,53,28.31990042,16.16,8.63,0.802975179599231,0.16439,0.37691,0,0.02503,0.42448,3.47,268.388008,2.302,5068.47694966667,17.760960335
145333552,"47-553",10.33236935,1.69,0,-99,-99,-99,-99,-99,0.0741,0.04,41812.8337582453,NA,NA,NA,NA,NA,0.67746,0.12821,0,0,0.11471,1.18,260.888008,4.228,5065.15217583333,17.7597963827778
145333559,NA,5.128472332,0.54,0,-99,-99,-99,-99,-99,0.3218,0.02,20753.8032940796,NA,NA,NA,NA,NA,0.01927,0.62336,0,0,0.33033,6.06,278.461992,2.076,5092.25234644444,18.2785539877778
145333563,"47-148",40.95089059,1.89,1,0,0,0,12,3859.742902,0.4123,0.17,165719.277204484,44,25.55552223,13.41,7.79,1.50457721183381,0.30875,0.26098,0.23527,0,0.15984,3.34,270.101992,16.258,5040.239377,17.35036326
145333578,"33-13",15.77785385,1.05,3,13,2,107,20,4517.591897,0.124,0.06,63849.515802679,NA,NA,NA,NA,NA,0.09032,0.06694,0.49033,0.04516,0.2621,2.25,285.969004,6.418,5324.57484922222,17.8328460905556
145333589,"47-94",18.56528221,1.21,2,5,3,210,10,3527.252092,0.4236,0.08,75129.6273319574,30,15.64401168,9.15,4.77,1.80938803694438,0.39967,0.24716,0.02951,0,0.31327,3.12,265.431992,6.891,5065.88911533333,17.7704765611111
145333598,"47-143",145.3446543,6.92,3,18,1,5,13,3889.520528,2.0525,0.59,588177.954352313,23,3.80563065,7.01,1.16,3.95056459874978,0.52965,0.24361,0.06178,0,0.15323,2.18,276.126992,58.473,5094.71700755556,16.94302685
145333603,"47-98",172.6195746,7.24,2,5,4,228,9,3354.632517,1.2126,0.7,698553.577758893,73,24.11478941,22.26,7.35,1.29874763681096,0.38975,0.11834,0.02515,0.01163,0.39963,2.21,264.870996,71.585,5537.80815005556,16.8696275122222
145333605,NA,21.22233186,1.91,3,15,6,201,8,3588.166432,1.0246,0.09,85882.1248027194,NA,NA,NA,NA,NA,0.15918,0.28411,0.2724,0,0.28304,3.83,276.8,11.396,5275.29245133333,18.0635638711111
145333609,"47-147",60.49089527,2.84,5,102,16,646,11,3799.252007,0.3907,0.24,244793.392699608,44,27.27383551,13.41,8.32,1.65871260507153,0.18096,0.33939,0,0,0.43537,2.83,266.92,25.65,5032.13023433333,17.23614708
