"survey_number","survey_effort_key","basin_number","reading_datetime","surface_depth_m","surface_temp_c","surface_do_mgl","bottom_depth_m","bottom_temp_c","bottom_do_mgl","thermo_depth_m"
5373,1,NA,"8/12/04",0.366,20.372,8.55,6.827,20.35,2.32,NA
5375,1,NA,"8/4/04",0.006,23.561,9.37,4.627,16.911,0.25,2.51350340743429
5387,1,NA,"8/16/04",0.012,21.422,9.57,12.502,8.25,0.16,4.89545593116695
5408,38,NA,"8/4/04",0,20.678,10.42,7.732,19.5,4.03,6.89313371583773
5426,22,NA,"9/9/05",0,22.822,10.46,3.657,21,3.47,2.01086015918324
5473,27,NA,"8/22/05",0,18.85,9.57,2.438,18.672,8.42,NA
5505,20,1,"9/7/05",0,24.489,9.05,21.945,4.989,0.26,5.44387217148343
5505,20,2,"9/7/05",0,24.711,9.24,15.544,6.6,0.23,5.68433951073927
5506,38,NA,"8/16/05",0,22.189,8.85,21.335,8.528,0.21,8.0848341697373
5508,23,1,"8/31/05",0.305,23.822,9.01,8.229,10.7,0.47,5.93596656465803
5508,23,2,"8/31/05",0.305,24,8.42,15.239,6,0.23,5.35756942718451
5508,23,3,"8/31/05",0.305,24.222,8.07,7.315,14.378,0.45,6.18445460058611
5509,28,1,"8/23/05",0,24.628,8.21,14.63,7.761,0.12,4.5200998987946
5509,28,2,"8/23/05",0.305,24.65,8.53,8.229,10.239,0.28,4.79294348785746
5510,73,NA,"8/17/05",0.305,22.778,7.2,1.829,22.778,7.1,NA
5511,42,NA,"8/17/05",0,22.228,8.63,9.448,14.178,0.24,6.50799384074344
5518,12,NA,"8/26/05",0.914,22.778,9.1,10.363,7.778,0.4,1.3715
5736,25,NA,"8/17/05",0,21.95,8.97,2.743,21.989,9.06,NA
5759,39,NA,"8/15/05",0,22.95,8.82,9.448,19.522,0.29,7.42059729535127
5998,1,NA,"8/24/05",0,20.672,9.38,7.924,14.128,0.48,6.87471922362622
5999,1,1,"8/25/05",0,21.911,8.29,12.191,8.661,0.22,5.00594152319202
5999,1,2,"8/25/05",0,22.172,8.1,10.058,6.111,0.29,4.13670794698031
5999,1,3,"8/25/05",0,21.75,8.86,10.667,7.85,0.26,4.9366912450121
5999,1,4,"8/25/05",0,21.95,8.84,9.448,7.6,0.28,4.23300859941603
5999,1,5,"8/25/05",0,21.989,8.13,8.534,7.611,0.33,4.16423337599624
5999,1,6,"8/25/05",0,22.189,8.54,10.667,9.222,0.25,5.33803579839705
5999,1,7,"8/25/05",0,22.172,8.4,6.705,11.289,0.44,4.47393212819664
6255,25,NA,"8/24/06",0,21.111,7.4,1.524,21.111,7.2,NA
6257,35,NA,"8/1/06",0.007,28.5,9.22,21.466,8.389,0.13,6.89008270339162
6258,11,NA,"8/10/06",0.949,23.372,8.63,9.222,11.3,0.08,4.90150325503953
6259,34,NA,"8/30/06",0,24.544,7.74,9.753,24.033,5.01,NA
6259,35,NA,"8/30/06",0,24.217,10.49,5.791,22.878,5.67,2.17932020145717
6261,18,NA,"8/25/06",0,24.2,8.17,10.667,12.6,0.26,5.43778663499161
6267,29,NA,"8/14/06",0,25.278,9.73,6.096,18.561,4.43,5.18394861831774
6281,18,NA,"8/26/06",0.001,24.811,10.47,17.391,5.85,0.23,5.26406420780339
6282,26,NA,"8/25/06",0,20.556,8.2,2.438,20,8.2,NA
6296,85,NA,"9/16/06",0,19.444,NA,24.992,11.111,NA,13.4913430030636
6297,22,NA,"8/19/08",0,20.978,10.47,12.801,6.6,0.25,2.98332069479939
6298,26,NA,"8/8/06",0.958,26.311,9.21,18.352,5.289,0.08,4.01082110369479
6320,19,NA,"8/22/06",0,23.889,10.9,13.715,6.167,0.68,6.27822207563421
6337,23,NA,"8/29/06",0,24.322,10.45,8.534,13.333,0.12,5.9002568041703
6376,1,NA,"8/2/06",0,25.556,8.7,5.791,22.778,0.3,4.46812665121359
6377,1,NA,"8/3/06",0,24.444,8.8,15.239,5.556,6.5,5.62076005597813
6452,8,NA,"8/8/06",0,22.778,8.2,1.219,22.222,8.2,NA
6453,17,NA,"8/4/06",0,23.889,9.1,1.372,23.889,8.9,NA
6506,1,NA,"8/23/06",0,23.889,9.2,3.962,21.111,0.4,0.401860738978211
6507,1,NA,"8/22/06",0,22.061,8.21,3.353,21.65,8.1,NA
6572,9,NA,"8/3/06",0,25,10.1,1.219,25,5.9,NA
6665,15,NA,"8/24/06",0,21.5,10.47,7.315,9.5,0.31,4.45929918835184
6693,20,NA,"8/23/06",0,22.222,10.5,1.829,21.222,7,1.39846359994228
6824,9,NA,"8/27/07",0,21,13.5,1.829,20.333,12.4,NA
6865,26,NA,"8/13/07",0,26.439,7.76,12.496,6.972,0.33,4.10033652871541
6887,58,NA,"8/21/07",0.002,21.806,7.65,9.144,21.328,6.42,NA
6888,24,NA,"8/21/07",0,21,6.8,8.189,14.383,0.29,7.52215281544285
6889,23,NA,"8/21/07",0.002,19.65,8.13,4.863,19.7,0.29,NA
6890,17,NA,"8/23/07",0,22.456,9.31,5.938,20.15,3.31,5.872
6901,24,NA,"9/13/07",0,22.211,8.57,15.849,7.056,0.42,5.95192766262218
6908,125,NA,"8/21/07",0,20.5,9.28,9.144,16.967,0.36,8.07460015160087
6911,18,NA,"8/14/07",0.006,24.722,8.85,2.743,22.611,2.19,2.27838623161348
