"survey_number","survey_effort_key","basin_number","TDO3"
8144,27,NA,"21.0313300970874"
8166,118,NA,"18.8562608695652"
8182,1,NA,"22.136058968059"
8183,1,NA,"20.3870612244898"
8239,33,NA,"18.9131263736264"
8241,31,NA,"19.5033066666667"
8242,11,NA,"NA"
8244,1,NA,"21.667"
8245,1,NA,"14.8367356321839"
8246,1,NA,"19"
8250,41,NA,"NA"
8267,1,NA,"17.2882580645161"
8269,2,NA,"24"
8390,47,NA,"16.2471016949153"
8391,20,NA,"24.5813977695167"
8392,1,NA,"7.30246551724138"
8392,33,NA,"7.30246551724138"
8393,33,NA,"22.050729281768"
8394,25,NA,"NA"
8434,30,NA,"23.1099857142857"
8434,31,NA,"NA"
8471,41,41,"23.5815828220859"
8475,33,NA,"8.34916666666667"
8477,22,NA,"9.29175"
8478,1,NA,"NA"
8489,25,NA,"NA"
8490,21,NA,"NA"
8491,50,NA,"19.2522753623188"
8508,22,NA,"18.9248659793814"
8515,43,NA,"13.798593220339"
8524,26,NA,"22.8271276595745"
8530,53,NA,"20.15582"
8531,1,NA,"21.0285916030534"
8532,20,NA,"16.644"
8542,47,NA,"23.2756923076923"
8548,30,NA,"NA"
8549,29,NA,"NA"
8551,30,NA,"NA"
8566,43,NA,"15.1779318996416"
8653,35,NA,"17.3380384615385"
8711,67,67,"NA"
8736,22,NA,"20.2464626865672"
8741,27,NA,"20.9988235294118"
8826,6,NA,"12.0959"
8827,1,NA,"NA"
8828,31,NA,"24.1928666666667"
8829,29,NA,"6.38944827586207"
8855,48,NA,"NA"
8862,43,1,"NA"
8862,44,2,"NA"
8866,30,NA,"16.3491428571429"
8877,15,NA,"15.6166404494382"
8893,28,NA,"19.07521023766"
8894,26,NA,"11.4061818181818"
8897,30,30,"18.6178858954041"
8911,31,NA,"23.2803444444444"
8912,27,NA,"10.8212258064516"
8912,28,NA,"13.9884264705882"
8992,40,NA,"NA"
9064,22,NA,"NA"
9072,26,1,"12.0623764705882"
9073,31,1,"20.6495441860465"
9074,25,1,"12.6189620253165"
9075,26,1,"19.3771559633028"
9076,12,NA,"21.4770594059406"
9216,31,1,"NA"
9242,51,1,"23.51916"
9242,51,2,"22.7141836734694"
9252,10,1,"NA"
9255,11,1,"20.9880491803279"
9282,29,1,"16.6895588235294"
9291,25,1,"NA"
9301,36,1,"21.4815377176015"
9316,32,1,"21.8672162162162"
9371,1,1,"19.0067130434783"
9669,14,1,"NA"
9671,1,1,"NA"
9672,1,1,"4.28571428571429"
9675,16,1,"15.7121388888889"
9702,14,1,"18.6705498007968"
9745,17,1,"9.06006451612903"
9895,18,1,"5.11351612903226"
9945,1,1,"NA"
9996,29,1,"6.10083044982699"
10054,28,1,"7.42524817518248"
10055,19,1,"21.0915668202765"
10056,23,1,"NA"
10057,19,1,"22.4009953917051"
10058,28,1,"4.4304347826087"
10157,64,1,"NA"
10158,25,1,"NA"
10168,47,1,"18.9629838709677"
10195,18,1,"NA"
10201,21,1,"18.415"
10312,58,1,"8.469"
10375,29,1,"20.0359016393443"
10376,33,1,"19.4622203389831"
10477,19,NA,"13.2886138613861"
10478,14,NA,"11.9098994708995"
10479,18,NA,"24.1915783783784"
10480,19,1,"15.3333117647059"
10524,49,1,"NA"
10528,22,NA,"19.1813790849673"
10529,16,NA,"NA"
10530,17,NA,"20.9283636363636"
10531,23,NA,"22.3596308411215"
10532,17,1,"20.2499661016949"
10544,29,1,"19.3122568093385"
10558,30,1,"NA"
10568,22,NA,"22.1829551020408"
10570,1,NA,"14.8305924170616"
10571,1,NA,"9.64463428571429"
10588,23,1,"NA"
10589,20,1,"NA"
10590,34,1,"19.9323298969072"
10628,34,1,"18.2317865429234"
10630,38,1,"17.7995178335535"
10744,1,NA,"9.17921993127148"
10761,18,1,"19.4233311258278"
10762,16,1,"21.6168274509804"
10765,21,1,"23.4064763313609"
10768,20,1,"23.7063636363636"
10942,53,1,"24.7862068965517"
10950,27,1,"NA"
10955,27,1,"18.1720975609756"
10957,29,1,"NA"
10964,24,1,"15.265"
10975,20,1,"10.4512839805825"
10975,21,1,"9.97216774193548"
10975,22,1,"18.2879182389937"
10979,24,NA,"8.86257142857143"
10980,16,1,"21.8676923076923"
10988,25,1,"23.7243510204082"
11036,1,NA,"25.1272914798206"
11037,1,NA,"16.0474716981132"
11038,23,NA,"17.1379219858156"
11138,29,1,"20.8494490674318"
11140,29,NA,"18.2922872928177"
11143,19,NA,"22.5906623794212"
11146,25,NA,"18.2064082840237"
