"FID_1","OGF_ID","Area_sqm","Perim_m","FID_2","OGF_ID_1","My_intwb_1","Distance","Shape_Leng","Shape_Area","My_intwbdy","PDEM_South"
0,0,0,0,0,0,0,0,127184.653037,85373844.5115,134884,276.221470993901
0,0,0,0,0,0,0,0,202495.352042,286839333.964,136295,237.885616082387
0,0,0,0,0,0,0,0,6180,920700,136303,236.569980818971
0,0,0,0,0,0,0,53.45539169,939660,71213400,131343,182.235824726894
0,0,0,0,0,0,0,0,98160,70654500,131409,299.06139466968
0,0,0,0,0,0,0,0,25560,10688400,131410,289.710089989646
0,0,0,0,0,0,0,0,29400,11366100,131445,183.262117154337
0,0,0,0,0,0,0,0,59485.9096753,19131564.6786,131943,221.130444998776
0,0,0,0,0,0,0,0,100525.909675,55301135.3214,131953,226.169962381844
0,0,0,0,0,0,0,0,53100,43384500,134986,329.67998630194
0,0,0,0,0,0,0,0,191340,222009300,134997,342.399386687287
0,0,0,0,0,0,0,0,48780,32665500,135007,332.552710779904
0,0,0,0,0,0,0,0,9660,2757600,135022,438.578062769638
0,0,0,0,0,0,0,0,61860,44119800,135049,311.789796948823
0,0,0,0,0,0,0,0,7200,1359900,135056,236.769271052807
0,0,0,0,0,0,0,0,16140,3794400,136288,183.160474064228
0,0,0,0,0,0,0,0,50940,28034100,136289,185.692182146369
0,0,0,0,0,0,0,0,147780,109712700,136291,234.916340443081
0,0,0,0,0,0,0,0,221280,232119000,136292,267.615762101781
0,0,0,0,0,0,0,0,14040,1946700,132327,276.809133514672
0,0,0,0,0,0,0,0,30780,12740400,132382,278.009593358921
0,0,0,0,0,0,0,0,120780,81585000,135434,376.856642004937
0,0,0,0,0,0,0,0,18120,8728200,135486,389.080025561005
0,0,0,0,0,0,0,0,28560,14082300,135501,388.640896914021
0,0,0,0,0,0,0,0,44580,29942100,135502,389.146757624233
0,0,0,0,0,0,0,0,73920,44413200,135595,389.705769954675
0,0,0,0,0,0,0,0,20880,6846300,135669,325.570098724506
0,0,0,0,0,0,0,0,30600,16284600,135670,327.940714396231
0,0,0,0,0,0,0,0,122598.166538,81241200,135718,375.610570775303
0,0,0,0,0,0,0,192.15776543,178620,3414600,136217,254.169705267762
0,0,0,0,0,0,0,0,81420,57819600,136226,306.006917090493
0,0,0,0,0,0,0,0,34320,21207600,129315,434.454733020195
0,0,0,0,0,0,0,0,36420,22482900,129318,408.830960411749
0,0,0,0,0,0,0,0,38700,27106200,129330,367.922291808428
0,0,0,0,0,0,0,0,58800,37292400,129424,351.967271469146
0,0,0,0,0,0,0,0,177060,213074100,129445,424.633601942381
0,0,0,0,0,0,0,0,123300,213597000,129446,407.816933221322
0,0,0,0,0,0,0,0,25740,17352900,129479,419.027460582894
0,0,0,0,0,0,0,0,116580,105847200,129494,317.39316738068
0,0,0,0,0,0,0,0,79920,65457000,129514,300.898211552835
0,0,0,0,0,0,0,54.47125803,38460,21647700,132728,308.110212022576
0,0,0,0,0,0,0,182.97041609,38317.0820393,23836500,132636,275.958357284571
0,0,0,0,0,0,0,0,15540,5174100,132635,303.967562192584
0,0,0,0,0,0,0,0,41460,17312400,132647,270.968264756865
0,0,0,0,0,0,0,0,81360,65491200,132649,296.4482103086
0,0,0,0,0,0,0,0,18600,6606000,132663,238.232863382033
0,0,0,0,0,0,0,0,53580,40833000,132664,283.582711353432
0,0,0,0,0,0,0,0,19140,6960600,132682,275.63787036439
0,0,0,0,0,0,0,0,98160,150873300,132690,239.534476608595
0,0,0,0,0,0,0,0,24300,12650400,132695,277.358184546316
0,0,0,0,0,0,0,0,32234.1640786,15387300,132725,299.952088723219
0,0,0,0,0,0,0,279.04274267,31020,483300,136237,268.748730025478
0,0,0,0,0,0,0,0,23220,11650500,131616,285.465809611899
0,0,0,0,0,0,0,49.85894342,18240,6622200,129732,451.569057019776
0,0,0,0,0,0,0,0,8700,2043000,131631,191.349950056034
0,0,0,0,0,0,0,0,24420,13410000,131632,201.994739274403
0,0,0,0,0,0,0,0,25140,13098600,131646,207.383015539188
0,0,0,0,0,0,0,0,24180,10441800,131652,237.599903964848
0,0,0,0,0,0,0,0,11520,3158100,131660,188.901854764298
0,0,0,0,0,0,0,0,67800,78658200,131665,208.474713906037
0,0,0,0,0,0,0,0,17640,6031800,131680,232.054207185103
0,0,0,0,0,0,0,0,24180,9599400,131684,233.25417721153
0,0,0,0,0,0,0,0,39000,12765600,132865,203.656251691118
0,0,0,0,0,0,0,0,37200,13962600,132871,221.718068707953
0,0,0,0,0,0,0,0,54180,18705600,132875,223.689356302462
0,0,0,0,0,0,0,356.23564109,45240,25336800,132889,221.260957182385
0,0,0,0,0,0,0,0,76020,91437300,132882,224.367881407764
0,0,0,0,0,0,0,0,46860,45553500,132891,278.640049276221
0,0,0,0,0,0,0,0,72180,110998800,132893,275.406388848499
0,0,0,0,0,0,0,0,415260,1441883700,132900,233.344391252945
0,0,0,0,0,0,0,0,24240,14350500,136366,331.897117444884
0,0,0,0,0,0,0,0,2700,229500,136370,235.729073917164
0,0,0,0,0,0,0,0,14340,4837500,132938,263.400545657136
0,0,0,0,0,0,0,23.42968843,33060,12068100,132990,276.103312644073
0,0,0,0,0,0,0,297.04377257,32820,19145700,132991,271.324239567742
0,0,0,0,0,0,0,0,81300,97398000,132996,257.436967475603
0,0,0,0,0,0,0,0,24900,9876600,133007,266.771670549189
0,0,0,0,0,0,0,0,105540,80296200,133011,262.189992567779
0,0,0,0,0,0,0,0,20940,6031800,133013,268.047886811168
0,0,0,0,0,0,0,0,4740,705600,133017,250.581431447243
0,0,0,0,0,0,0,0,5100,466200,133027,250.665626849907
0,0,0,0,0,0,0,0,84600,69509700,133034,264.917040000202
0,0,0,0,0,0,0,0,52740,36893700,133037,260.523693995655
0,0,0,0,0,0,0,0,31440,16417800,133039,276.541338189206
0,0,0,0,0,0,0,0,113940,120532500,133040,265.696909791847
0,0,0,0,0,0,0,0,175080,312401700,133044,217.699197263569
0,0,0,0,0,0,0,0,19260,9394200,133045,208.826674543775
0,0,0,0,0,0,0,0,13860,3787200,133461,235.000577433481
0,0,0,0,0,0,0,0,27540,9887400,133493,226.789731592205
0,0,0,0,0,0,0,0,33420,16038000,133522,213.435666141873
0,0,0,0,0,0,0,0,139980,83414700,133539,234.315536760596
0,0,0,0,0,0,0,0,143280,114944400,133557,206.196667975598
0,0,0,0,0,0,0,0,101400,136205100,133559,201.447412318876
0,0,0,0,0,0,0,0,150780,123228900,133561,196.792540352477
0,0,0,0,0,0,0,0,48840,30672000,133615,215.956892493522
0,0,0,0,0,0,0,0,24540,10268100,133632,198.120854186076
0,0,0,0,0,0,0,58.37793112,30420,513900,133735,164.886161523609
0,0,0,0,0,0,0,0,52920,22600800,136244,250.881459529325
0,0,0,0,0,0,0,148.07800158,147359.912627,170262898.687,133077,264.800379122783
0,0,0,0,0,0,0,79.79799333,211943.109888,320785200,133081,269.620102679746
0,0,0,0,0,0,0,0,15540,5564700,133054,255.20689185283
0,0,0,0,0,0,0,0,60900,54973800,133055,269.874648840265
0,0,0,0,0,0,0,0,73140,52254000,133076,277.315939125531
0,0,0,0,0,0,0,0,44487.9031979,42414300,133078,252.033209090201
0,0,0,0,0,0,0,0,19860,7207200,133080,276.69712002818
0,0,0,0,0,0,0,0,83580,86661000,133083,254.367774896029
0,0,0,0,0,0,0,0,5580,325800,133085,250.18177727968
0,0,0,0,0,0,0,0,106200,112104900,133086,260.82876118656
0,0,0,0,0,0,0,0,21240,8715600,133087,251.008807228401
0,0,0,0,0,0,0,0,210087.903198,135158400,133089,258.967904410956
0,0,0,0,0,0,0,0,22740,7965000,133090,250.92983663268
0,0,0,0,0,0,0,0,90120,89991900,133091,258.17143069244
0,0,0,0,0,0,0,0,12600,2088000,133092,245.958956350129
0,0,0,0,0,0,0,0,15960,3007800,133669,199.422493948899
0,0,0,0,0,0,0,203.30276351,24660,409500,133700,163.842595194722
0,0,0,0,0,0,0,68.82077821,22200,370800,133702,175.525499769785
0,0,0,0,0,0,0,29.32614604,2940,47700,133735,162.70392680618
0,0,0,0,0,0,0,0,23640,6039900,133750,191.24987900742
0,0,0,0,0,0,0,0,19080,3804300,133781,188.842775819994
0,0,0,0,0,0,0,310.02442268,77460,1233900,134029,125.828300832224
0,0,0,0,0,0,0,267.45897456,31080,507600,134090,124.705638993716
0,0,0,0,0,0,0,45.1923485,156275.340277,209380562.689,133113,259.03419115849
0,0,0,0,0,0,0,0,18780,7548300,133093,259.599918709787
0,0,0,0,0,0,0,0,21840,8162100,133094,258.214490822571
0,0,0,0,0,0,0,0,14640,2088900,133095,264.148229977839
0,0,0,0,0,0,0,42.84204432,21960,7809300,133098,250.063267617151
0,0,0,0,0,0,0,0,49200,25518600,133100,262.692300482093
0,0,0,0,0,0,0,0,269580,420848100,133103,233.099141111896
0,0,0,0,0,0,0,0,13440,4572900,133114,255.648362377266
0,0,0,0,0,0,0,0,43200,18336600,134134,205.235112779003
0,0,0,0,0,0,0,0,5040,573300,134135,193.758341982376
0,0,0,0,0,0,0,0,56820,38209500,136346,217.766850172764
0,0,0,0,0,0,0,0,13800,3508200,132727,301.13072430849
0,0,0,0,0,0,0,0,7810.69900563,942121.524886,134892,235.794537169885
0,0,0,0,0,0,0,0,5975.34027724,1084437.31107,133082,249.859328983038
0,0,0,0,0,0,0,0,21960,7429500,126155,177.996825395534
0,0,0,0,0,0,0,0,2580,229500,126219,125.881932875689
0,0,0,0,0,0,0,0,2820,195300,126231,125.816451323197
0,0,0,0,0,0,0,0,23040,7243200,126232,132.657650028024
0,0,0,0,0,0,0,0,21420,6598800,126303,119.38442060301
0,0,0,0,0,0,0,0,8280,1927800,126307,106.163753114161
0,0,0,0,0,0,0,0,15780,5361300,126317,107.823721913377
0,0,0,0,0,0,0,0,2280,209700,129016,28.829288662759
0,0,0,0,0,0,0,97.01649696,1492680,765505800,129036,NA
0,0,0,0,0,0,0,0,15540,3911400,129091,181.259624149412
0,0,0,0,0,0,0,22.43218174,328380,100216800,129298,NA
0,0,0,0,0,0,0,0,29640,12813300,129300,273.110727973473
0,0,0,0,0,0,0,0,15960,4368600,129301,305.889266917477
0,0,0,0,0,0,0,0,5280,854100,125250,324.911377146071
0,0,0,0,0,0,0,0,62460,24561900,125301,287.031769417762
0,0,0,0,0,0,0,0,12060,3070800,125366,278.458232866222
0,0,0,0,0,0,0,0,68700,34886700,125368,268.686840768982
0,0,0,0,0,0,0,133.01411324,182040,167616900,126367,143.463799615608
0,0,0,0,0,0,0,28.60677247,14820,1773000,126190,134.192764719852
0,0,0,0,0,0,0,105.87526041,55782.4264069,51888150,126485,140.130413182064
0,0,0,0,0,0,0,0,82680,69215400,126402,205.119798026122
0,0,0,0,0,0,0,0,60660,32115600,126416,174.244790416626
0,0,0,0,0,0,0,0,16320,5845500,126418,135.176277623459
0,0,0,0,0,0,0,0,135900,112655700,126453,100.756698580365
0,0,0,0,0,0,0,0,42120,19735200,126459,114.630357978901
0,0,0,0,0,0,0,0,198960,148385700,126477,161.56310171149
0,0,0,0,0,0,0,0,23400,8461800,126481,157.723921150381
0,0,0,0,0,0,0,0,141236.590486,109426050,126487,130.192683219321
0,0,0,0,0,0,0,0,13200,3997800,127036,444.894010726743
0,0,0,0,0,0,0,0,96060,77431500,127053,368.315144915057
0,0,0,0,0,0,0,119.60827869,484860,216793800,129063,NA
0,0,0,0,0,0,0,0,144000,113973300,129147,180.796913859482
0,0,0,0,0,0,0,0,16800,5110200,125374,472.910949545791
0,0,0,0,0,0,0,0,10800,3443400,125394,304.321061863678
0,0,0,0,0,0,0,0,18660,7577100,125430,410.737478245124
0,0,0,0,0,0,0,0,83460,60418800,125484,394.058159612771
0,0,0,0,0,0,0,0,14700,3600000,125505,416.884500656128
0,0,0,0,0,0,0,0,47640,31556700,125577,307.072671847448
0,0,0,0,0,0,0,0,15720,5612400,125588,404.380556430779
0,0,0,0,0,0,0,0,7440,1370700,125611,286.643534489392
0,0,0,0,0,0,0,0,29280,15265800,125621,288.005266889229
0,0,0,0,0,0,0,0,35160,19130400,125665,308.583343581953
0,0,0,0,0,0,0,0,151980,148032000,127090,398.79312412659
0,0,0,0,0,0,0,0,128940,143682300,127102,364.143404370793
0,0,0,0,0,0,0,0,21480,9044100,127103,418.128250369575
0,0,0,0,0,0,0,0,49920,32227200,127139,456.551498634673
0,0,0,0,0,0,0,0,24300,12693600,129258,282.811307266634
0,0,0,0,0,0,0,0,46260,24776100,125773,295.37486630975
0,0,0,0,0,0,0,202.45646525,51822.4264069,32233950,129261,254.947683107279
0,0,0,0,0,0,0,0,65220,40658400,125809,273.516124940159
0,0,0,0,0,0,0,0,115740,80503200,125824,261.557165544026
0,0,0,0,0,0,0,154.54790611,12000,203400,125833,288.774377468413
0,0,0,0,0,0,0,0,48840,29480400,125848,337.893702087886
0,0,0,0,0,0,0,0,137160,115688700,125849,345.37401335798
0,0,0,0,0,0,0,0,38460,29883600,125850,358.403970846831
0,0,0,0,0,0,0,0,92460,67970700,125851,295.304270815432
0,0,0,0,0,0,0,0,101820,116369100,125852,390.898209914995
0,0,0,0,0,0,0,0,8040,1949400,127216,179.035738901858
0,0,0,0,0,0,0,0,82500,77097600,127234,214.384073385344
0,0,0,0,0,0,0,0,55740,59851800,127365,141.855076130317
0,0,0,0,0,0,0,0,7620,849600,127368,114.027226189435
0,0,0,0,0,0,0,0,50682.4264069,31861350,129260,263.646854079319
0,0,0,0,0,0,0,0,16800,5675400,125863,292.036379830179
0,0,0,0,0,0,0,95.15679624,820080,425299500,127236,NA
0,0,0,0,0,0,0,0,27180,13235400,127567,335.753366222098
0,0,0,0,0,0,0,0,6840,852300,127572,292.213183828996
0,0,0,0,0,0,0,0,68580,34172100,127681,227.24775352277
0,0,0,0,0,0,0,0,114060,81917100,127797,149.934556836181
0,0,0,0,0,0,0,0,23940,6777000,127801,210.248034556517
0,0,0,0,0,0,0,0,11160,2856600,127817,410.57514480562
0,0,0,0,0,0,0,0,14940,4885200,127821,406.236907975851
0,0,0,0,0,0,0,0,255240,318763800,127822,261.644061156964
0,0,0,0,0,0,0,0,107100,118008000,127831,174.169327522246
0,0,0,0,0,0,0,0,101580,113384700,127835,188.032572047634
0,0,0,0,0,0,0,0,18000,6899400,127839,185.985223540743
0,0,0,0,0,0,0,0,44040,37777500,127841,175.767022926099
0,0,0,0,0,0,0,0,86820,79494300,127856,327.427288999143
0,0,0,0,0,0,0,0,83580,79553700,127862,304.199656868303
0,0,0,0,0,0,0,0,6720,841500,129169,81.4878336697339
0,0,0,0,0,0,0,0,16920,4459500,129171,88.8468630454858
0,0,0,0,0,0,0,0,15900,6626700,129172,96.6369485540374
0,0,0,0,0,0,0,133.90113257,569460,193555800,129172,NA
0,0,0,0,0,0,0,0,76020,7334100,125911,257.661700128996
0,0,0,0,0,0,0,93.31924832,856500,290922300,127361,NA
0,0,0,0,0,0,0,94.73873455,207060,52706700,127368,NA
0,0,0,0,0,0,0,122.28092039,281220,145631700,127500,NA
0,0,0,0,0,0,0,0,58800,36791100,127921,349.281021364145
0,0,0,0,0,0,0,0,34620,19541700,127939,149.80429727402
0,0,0,0,0,0,0,697.83033461,278880,45424800,127979,NA
0,0,0,0,0,0,0,50.69899999,83640,11661300,127980,NA
0,0,0,0,0,0,0,151.38075,73938.1665383,57096000,129295,182.710180416081
0,0,0,0,0,0,0,0,22560,7957800,129240,165.099028193231
0,0,0,0,0,0,0,0,52860,38839500,129266,270.895572231429
0,0,0,0,0,0,0,279.31528625,40860,683100,125960,237.822107086383
0,0,0,0,0,0,0,0,11759.9220017,2643298.8285,126585,207.981902504682
0,0,0,0,0,0,0,0,14760,4739400,126628,206.627905533063
0,0,0,0,0,0,0,0,44220,21182400,126640,198.448350315755
0,0,0,0,0,0,0,0,22980,5915700,126660,176.242405619666
0,0,0,0,0,0,0,0,48300,18751500,126679,185.297437775046
0,0,0,0,0,0,0,10.27821414,6660,1160100,126696,177.330008921834
0,0,0,0,0,0,0,257.99626099,14160,230400,126723,178.941138744354
0,0,0,0,0,0,0,0,21720,7898400,126763,156.449236472519
0,0,0,0,0,0,0,39.336,25320,8253900,126780,155.667643641791
0,0,0,0,0,0,0,0,12540,2960100,126800,164.055396117422
0,0,0,0,0,0,0,0,170220,106146000,126638,175.145650179821
0,0,0,0,0,0,0,0,30780,8178300,126896,119.884692225136
0,0,0,0,0,0,0,0,51780,24972300,126899,120.098864643862
0,0,0,0,0,0,0,0,31814.1640786,14703300,126900,101.624194050226
0,0,0,0,0,0,0,64.38669278,36974.1640786,21091500,126916,109.788787847331
0,0,0,0,0,0,0,0,77520,41211900,126934,133.231252368177
0,0,0,0,0,0,0,0,80640,54158400,126935,143.671307446252
0,0,0,0,0,0,0,0,142319.922002,83856601.1715,126936,211.386157364975
0,0,0,0,0,0,0,80.29053233,34020,5762700,126939,181.348787273483
0,0,0,0,0,0,0,0,45677.7697876,35186366.2755,126479,127.557094705697
0,0,0,0,0,0,0,0,9360,2643300,126010,138.521060298079
0,0,0,0,0,0,0,0,10620,2120400,101805,363.163874744357
0,0,0,0,0,0,0,0,28740,15111000,105954,378.124253106358
0,0,0,0,0,0,0,0,2940,317700,106374,450.181806785864
0,0,0,0,0,0,0,302.60663627,45600,736200,106387,470.822677910765
0,0,0,0,0,0,0,149.4687794,67892.4828759,55764000,125157,NA
0,0,0,0,0,0,0,0,8640,1995300,125148,NA
0,0,0,0,0,0,0,0,39060,13436100,125150,NA
0,0,0,0,0,0,0,0,6120,1155600,125151,NA
0,0,0,0,0,0,0,93.16951147,60840,40481100,125152,NA
0,0,0,0,0,0,0,0,17220,4489200,125153,NA
0,0,0,0,0,0,0,0,29040,12495600,125154,NA
0,0,0,0,0,0,0,90.84465597,120840,83922300,125155,NA
0,0,0,0,0,0,0,0,120360,71673300,125156,NA
0,0,0,0,0,0,0,0,22680,10035900,125158,NA
0,0,0,0,0,0,0,59.97778422,106020,50488200,125159,NA
0,0,0,0,0,0,0,0,7680,1580400,125160,NA
0,0,0,0,0,0,0,0,20760,7812900,125163,375.657706417228
0,0,0,0,0,0,0,0,27300,7490700,125168,NA
0,0,0,0,0,0,0,101.096175,18780,4778100,125170,354.226704626035
0,0,0,0,0,0,0,0,28980,16870500,106686,471.219547979722
0,0,0,0,0,0,0,97.99461065,30540,495900,106766,472.538443785181
0,0,0,0,0,0,0,0,444360,652663800,106832,463.958863957729
0,0,0,0,0,0,0,0,210300,319898700,106878,474.727826295464
0,0,0,0,0,0,0,0,129420,109186200,106887,460.938683449279
0,0,0,0,0,0,0,0,67920,46819800,106903,464.777299381541
0,0,0,0,0,0,0,0,13080,2950200,106956,461.288011142435
0,0,0,0,0,0,0,0,29760,13323600,106957,461.118518768533
0,0,0,0,0,0,0,0,29340,20590200,106973,481.039291964762
0,0,0,0,0,0,0,0,12480,4389300,106999,469.866973601625
0,0,0,0,0,0,0,119.03881179,50220,805500,107089,458.192687545009
0,0,0,0,0,0,0,0,43800,33606000,107255,450.360266183568
0,0,0,0,0,0,0,144.70644096,18600,298800,107257,454.380558059876
0,0,0,0,0,0,0,0,16560,7508700,107287,482.109775814353
0,0,0,0,0,0,0,0,41760,23502600,107347,479.101298490345
0,0,0,0,0,0,0,0,12540,4391100,107413,490.603004525934
0,0,0,0,0,0,0,0,54660,33608700,107429,473.444702299623
0,0,0,0,0,0,0,0,5460,636300,107479,455.855831335087
0,0,0,0,0,0,0,0,68640,24856200,107675,NA
0,0,0,0,0,0,0,0,159960,181725300,107705,453.170265177615
0,0,0,0,0,0,0,0,35340,18076500,107709,486.27822307561
0,0,0,0,0,0,0,185.40692896,18240,287100,107713,467.262397694363
0,0,0,0,0,0,0,335.86668344,16920,261900,107718,462.009757759645
0,0,0,0,0,0,0,0,11640,2218500,107723,480.555324853119
0,0,0,0,0,0,0,0,15120,5373900,107724,482.054219861942
0,0,0,0,0,0,0,174.3653849,13020,199800,107725,467.477907747836
0,0,0,0,0,0,0,0,51300,37937700,107735,450.818086898124
0,0,0,0,0,0,0,0,162420,180186300,107736,465.238419447582
0,0,0,0,0,0,0,184.99841576,23340,368100,107737,449.902142662291
0,0,0,0,0,0,0,0,5040,770400,115822,NA
0,0,0,0,0,0,0,0,48480,34305300,116033,NA
0,0,0,0,0,0,0,0,18900,5591700,116799,NA
0,0,0,0,0,0,0,0,14760,2268900,117019,NA
