"FID_1","OGF_ID","Area_sqm","Perim_m","FID_2","OGF_ID_1","My_intwb_1","Distance","Shape_Leng","Shape_Area","My_intwbdy","PDEM_North"
0,0,0,0,0,0,0,0,6720,841500,129169,NA
0,0,0,0,0,0,0,0,16920,4459500,129171,NA
0,0,0,0,0,0,0,0,15900,6626700,129172,NA
0,0,0,0,0,0,0,133.90113257,569460,193555800,129172,NA
0,0,0,0,0,0,0,0,76020,7334100,125911,NA
0,0,0,0,0,0,0,93.31924832,856500,290922300,127361,NA
0,0,0,0,0,0,0,94.73873455,207060,52706700,127368,NA
0,0,0,0,0,0,0,122.28092039,281220,145631700,127500,NA
0,0,0,0,0,0,0,0,58800,36791100,127921,NA
0,0,0,0,0,0,0,0,34620,19541700,127939,NA
0,0,0,0,0,0,0,697.83033461,278880,45424800,127979,NA
0,0,0,0,0,0,0,50.69899999,83640,11661300,127980,NA
0,0,0,0,0,0,0,151.38075,73938.1665383,57096000,129295,NA
0,0,0,0,0,0,0,0,22560,7957800,129240,NA
0,0,0,0,0,0,0,0,52860,38839500,129266,NA
0,0,0,0,0,0,0,279.31528625,40860,683100,125960,NA
0,0,0,0,0,0,0,0,11759.9220017,2643298.8285,126585,NA
0,0,0,0,0,0,0,0,14760,4739400,126628,NA
0,0,0,0,0,0,0,0,44220,21182400,126640,NA
0,0,0,0,0,0,0,0,22980,5915700,126660,NA
0,0,0,0,0,0,0,0,48300,18751500,126679,NA
0,0,0,0,0,0,0,10.27821414,6660,1160100,126696,NA
0,0,0,0,0,0,0,257.99626099,14160,230400,126723,NA
0,0,0,0,0,0,0,0,21720,7898400,126763,NA
0,0,0,0,0,0,0,39.336,25320,8253900,126780,NA
0,0,0,0,0,0,0,0,12540,2960100,126800,NA
0,0,0,0,0,0,0,0,170220,106146000,126638,NA
0,0,0,0,0,0,0,0,30780,8178300,126896,NA
0,0,0,0,0,0,0,0,51780,24972300,126899,NA
0,0,0,0,0,0,0,0,31814.1640786,14703300,126900,NA
0,0,0,0,0,0,0,64.38669278,36974.1640786,21091500,126916,NA
0,0,0,0,0,0,0,0,77520,41211900,126934,NA
0,0,0,0,0,0,0,0,80640,54158400,126935,NA
0,0,0,0,0,0,0,0,142319.922002,83856601.1715,126936,NA
0,0,0,0,0,0,0,80.29053233,34020,5762700,126939,NA
0,0,0,0,0,0,0,0,45677.7697876,35186366.2755,126479,NA
0,0,0,0,0,0,0,0,9360,2643300,126010,NA
0,0,0,0,0,0,0,0,10620,2120400,101805,NA
0,0,0,0,0,0,0,0,28740,15111000,105954,NA
0,0,0,0,0,0,0,0,2940,317700,106374,NA
0,0,0,0,0,0,0,302.60663627,45600,736200,106387,NA
0,0,0,0,0,0,0,149.4687794,67892.4828759,55764000,125157,336.567328197069
0,0,0,0,0,0,0,0,8640,1995300,125148,443.020476937025
0,0,0,0,0,0,0,0,39060,13436100,125150,377.965753594521
0,0,0,0,0,0,0,0,6120,1155600,125151,386.769217066305
0,0,0,0,0,0,0,93.16951147,60840,40481100,125152,412.747965153514
0,0,0,0,0,0,0,0,17220,4489200,125153,368.429652975001
0,0,0,0,0,0,0,0,29040,12495600,125154,383.488583177078
0,0,0,0,0,0,0,90.84465597,120840,83922300,125155,377.570472697074
0,0,0,0,0,0,0,0,120360,71673300,125156,NA
0,0,0,0,0,0,0,0,22680,10035900,125158,358.542336115762
0,0,0,0,0,0,0,59.97778422,106020,50488200,125159,349.457850324757
0,0,0,0,0,0,0,0,7680,1580400,125160,337.041752669697
0,0,0,0,0,0,0,0,20760,7812900,125163,NA
0,0,0,0,0,0,0,0,27300,7490700,125168,399.419761385466
0,0,0,0,0,0,0,101.096175,18780,4778100,125170,NA
0,0,0,0,0,0,0,0,28980,16870500,106686,NA
0,0,0,0,0,0,0,97.99461065,30540,495900,106766,NA
0,0,0,0,0,0,0,0,444360,652663800,106832,NA
0,0,0,0,0,0,0,0,210300,319898700,106878,NA
0,0,0,0,0,0,0,0,129420,109186200,106887,NA
0,0,0,0,0,0,0,0,67920,46819800,106903,NA
0,0,0,0,0,0,0,0,13080,2950200,106956,NA
0,0,0,0,0,0,0,0,29760,13323600,106957,NA
0,0,0,0,0,0,0,0,29340,20590200,106973,NA
0,0,0,0,0,0,0,0,12480,4389300,106999,NA
0,0,0,0,0,0,0,119.03881179,50220,805500,107089,NA
0,0,0,0,0,0,0,0,43800,33606000,107255,NA
0,0,0,0,0,0,0,144.70644096,18600,298800,107257,NA
0,0,0,0,0,0,0,0,16560,7508700,107287,NA
0,0,0,0,0,0,0,0,41760,23502600,107347,NA
0,0,0,0,0,0,0,0,12540,4391100,107413,NA
0,0,0,0,0,0,0,0,54660,33608700,107429,NA
0,0,0,0,0,0,0,0,5460,636300,107479,NA
0,0,0,0,0,0,0,0,68640,24856200,107675,435.506432664136
0,0,0,0,0,0,0,0,159960,181725300,107705,NA
0,0,0,0,0,0,0,0,35340,18076500,107709,NA
0,0,0,0,0,0,0,185.40692896,18240,287100,107713,NA
0,0,0,0,0,0,0,335.86668344,16920,261900,107718,NA
0,0,0,0,0,0,0,0,11640,2218500,107723,NA
0,0,0,0,0,0,0,0,15120,5373900,107724,NA
0,0,0,0,0,0,0,174.3653849,13020,199800,107725,NA
0,0,0,0,0,0,0,0,51300,37937700,107735,NA
0,0,0,0,0,0,0,0,162420,180186300,107736,NA
0,0,0,0,0,0,0,184.99841576,23340,368100,107737,NA
0,0,0,0,0,0,0,0,5040,770400,115822,343.470178514998
0,0,0,0,0,0,0,0,48480,34305300,116033,355.515574374622
0,0,0,0,0,0,0,0,18900,5591700,116799,349.592096338252
0,0,0,0,0,0,0,0,14760,2268900,117019,338.902977113826
0,0,0,0,0,0,0,0,12300,2672100,122390,399.056335552006
0,0,0,0,0,0,0,0,35820,17311500,122400,390.889456834389
0,0,0,0,0,0,0,0,11160,1230300,117338,337.417166988258
0,0,0,0,0,0,0,0,7680,1264500,122432,391.244765616312
0,0,0,0,0,0,0,0,44340,23765400,122451,394.083283312057
0,0,0,0,0,0,0,0,17160,4181400,122464,393.503610913937
0,0,0,0,0,0,0,0,131700,33087600,122478,373.833828286603
0,0,0,0,0,0,0,0,115260,102456900,125121,383.587057470798
0,0,0,0,0,0,0,0,30600,11496600,122544,385.467160070971
0,0,0,0,0,0,0,0,20520,8928900,107782,NA
0,0,0,0,0,0,0,0,5160,648900,107791,NA
0,0,0,0,0,0,0,156.4118142,50896.1554505,35956663.7217,118011,366.87000076729
0,0,0,0,0,0,0,0,310380,291285900,118004,347.903931761917
0,0,0,0,0,0,0,0,333480,353058300,118006,362.162787991495
0,0,0,0,0,0,0,0,9480,2736000,101479,NA
0,0,0,0,0,0,0,0,51120,25088400,107949,NA
0,0,0,0,0,0,0,0,51240,36898200,108019,NA
0,0,0,0,0,0,0,0,7500,2070000,108034,NA
0,0,0,0,0,0,0,0,13320,4273200,108170,NA
0,0,0,0,0,0,0,0,10320,2349900,101578,NA
0,0,0,0,0,0,0,0,8880,2456100,108342,NA
0,0,0,0,0,0,0,0,104520,83138400,101610,NA
0,0,0,0,0,0,0,0,9660,2103300,108663,NA
0,0,0,0,0,0,0,0,10980,2650500,108864,NA
0,0,0,0,0,0,0,0,8100,2014200,108947,NA
0,0,0,0,0,0,0,0,5160,622800,109081,NA
0,0,0,0,0,0,0,0,138660,120469500,101673,NA
0,0,0,0,0,0,0,0,30300,11311200,101700,NA
0,0,0,0,0,0,0,0,48420,21712500,101775,NA
0,0,0,0,0,0,0,0,59400,42885900,101783,NA
0,0,0,0,0,0,0,97.3453,8040,944100,101805,NA
0,0,0,0,0,0,0,0,13920,2778300,101817,NA
0,0,0,0,0,0,0,0,49020,24750000,101877,NA
0,0,0,0,0,0,0,0,9660,2296800,101922,NA
0,0,0,0,0,0,0,0,48720,32160600,109268,NA
0,0,0,0,0,0,0,0,36420,21783600,101977,NA
0,0,0,0,0,0,0,0,28380,9580500,102028,NA
0,0,0,0,0,0,0,0,34680,15181200,102221,NA
0,0,0,0,0,0,0,0,61800,47473200,102234,NA
