"OBJECTID","IHDID","lake_name","New_Key","Area_ac","Volume_ac_ft","MeanDepth_ft","MaxDepth_ft"
948,83975801,"Big Bass Lake","69-39",67.28778379,760.40206986,11.30074476,32
949,83975911,"Big Chub Lake","69-66",70.30815287,3023.71179572,43.00656001,83
950,70330495,"Smoky Lake","36-456",568.38339687,13918.0971898,24.48716354,60
951,70330209,"Cub Lake","27-255",32.93123998,339.98661094,10.32413633,23
952,111860663,"Gibson Lake","36-690",84.43294358,918.43436289,10.87767788,23
953,121859866,"Haymarsh Lakes","54-281",333.38444936,1371.11746028,4.1127217,25
954,121860155,"Round Lake","54-51",159.87273391,2660.39114716,16.64068088,45
955,121860155,"Round Lake","54-54",302.83604657,3392.26786599,11.20166474,39
956,123394302,"Rookery Lake","36-2062",9.5234414,91.93358033,9.65339907,22
957,123394464,"Robbins Pond","66-175",4.80496414,14.16494533,2.94798149,6
958,123397067,"Tamarack Lake","36-768",350.01884232,3785.01938325,10.81375893,18
959,123397287,"West Bear Lake","27-170",64.40950031,820.73531979,12.74245749,21
960,123397426,"Katherine Lake","27-184",41.94910377,675.64097033,16.10620751,56
961,82816786,"Watermill Lake","43-56",12.44076754,152.45240641,12.25426052,26
962,44361214,"Hemlock Lake","2-613",37.3727121,455.52394441,12.18867775,29
963,44364812,"Fish Lake","2-27",136.30851763,2149.51374401,15.76947488,42
964,44365260,"Grants Lake","2-68",14.53375012,233.29293196,16.05180563,25
965,116542719,"Toivola Lakes","31-1052",11.24749565,56.48742533,5.02222247,8
966,109943924,"Betsy Lake","48-443",1366.85921679,8057.27139701,5.89473393,8
967,113471321,"West Fish Lake","60-47",12.33525354,58.96811626,4.78045434,12
968,113471507,"McCollum Lake","68-103",218.7344713,3388.95331796,15.49345788,59
969,83976035,"Little Bear Lake","68-147",54.14820224,239.35813355,4.42042623,17
970,120020868,"Birch Lake","27-13",203.12531857,1328.16560287,6.53865117,15
971,123110977,"Huckleberry Lake","17-215",9.33094631,22.71899232,2.43480046,4
972,121860427,"Brady Lake","54-29",56.7727085,403.46687146,7.10670465,17
973,44364468,"Thornton Lake","2-1",30.51084277,298.38407247,9.77960769,18
974,44364892,"Spot Lake","2-31",7.59181863,100.24954129,13.20494418,28
975,44365014,"Farm Lake","75-495",74.15657208,410.46909666,5.53516816,11
976,44365904,"Island Lake","75-297",80.09698545,1787.33534008,22.31463931,56
977,44365904,"Island Lake","75-298",108.42835876,1898.27070649,17.5071423,61
978,86671829,"West Twin Lake","48-27",96.04318993,1624.73431565,16.91670505,61
979,86671829,"West Twin Lake","48-28",96.04318993,1624.73431565,16.91670505,61
980,109943604,"Muskallonge Lake","48-566",778.188221,7332.99922274,9.42316913,21
981,109943622,"Randolph Lake","48-703",13.21173633,15.67414145,1.18638013,3
982,109946528,"Joe Lake","2-232",78.81302589,1304.63795819,16.55358291,36
983,113235973,"West Branch Lake","2-85",135.73844551,1096.34578965,8.07689955,20
984,113235979,"Stoner Lake","2-124",79.65268998,432.22450155,5.42636415,18
985,118043949,"Crossville Lake","49-202",25.41898928,123.608413,4.86283745,6
986,118044231,"Peggley Lake","49-213",24.37694588,116.99377259,4.79936138,6
987,83977329,"Island Lake","65-173",62.1220458,378.08173562,6.08611212,26
988,83976591,"Byron Lake","1-61",10.99569526,68.05158653,6.18892984,22
989,83976145,"River Lake","20-95",12.36441197,144.11222913,11.655405,30
990,70330155,"Deer Island Lake","27-207",292.49394504,5298.30744212,18.11424657,53
991,123147972,"Moraine Lake","27-930",80.00852173,945.00473969,11.81130109,21
992,121861263,"Bear Lake","61-66",667.48995221,15967.9905228,23.92244328,67
993,122382924,"Richard Lake","71-106",9.80514154,31.81036997,3.24425403,10
