"Water_Body_Key","Water_Body_Name","FMU_Code","survey_number","Year","Survey_Purpose","new_key","Located_Town","Located_Range","Located_Section","primary_county_name","FirstOfSurvey_Begin_Timestamp","LastOfEnding_Effort_Timestamp","LONG_DD","LAT_DD","IHDLKID"
"17N12W0501","Idlewild Lake","MI-MCM",6267,2006,"Status & Trends","43-37","17N","12W",5,"Lake","5/16/06","8/29/06",-85.78454,43.8886,82816492
"07N09E1401","Lake Nepessing","MI-MSH",8828,2011,"Status & Trends","44-159","07N","09E",14,"Lapeer","5/31/11","8/10/11",-83.37176,43.01749,147104249
"08N10E0601","Sawdel Lake","MI-MSH",9076,2012,"Status & Trends","44-230","08N","10E",6,"Lapeer","5/29/12","8/14/12",-83.34176,43.1386,147104019
"06N09E1201","Lake Minnewanna","MI-MSH",3529,2002,"Status & Trends","44-25","06N","09E",12,"Lapeer","5/21/02","8/26/02",-83.35184,42.9452,147104376
"08N11E1901","Long Lake","MI-MSH",8081,2009,"Status & Trends","44-271","08N","11E",19,"Lapeer","6/8/09","8/3/09",-83.22426,43.10471,147104089
"08N11E1901","Long Lake","MI-MSH",11656,2018,"Status & Trends","44-271","08N","11E",19,"Lapeer","3/5/18","3/5/18",-83.22426,43.10471,147104089
"08N11E0802","Twin Lake","MI-MSH",4042,2003,"Status & Trends","44-286","08N","11E",8,"Lapeer","5/27/03","8/22/03",NA,NA,NA
"09N09E0601","Otter Lake","MI-MSH",10058,2014,"Status & Trends","44-316","09N","09E",6,"Lapeer","6/2/14","8/15/14",-83.46037,43.2186,147103912
"06N09E3402","Davison Lake","MI-MSH",6933,2007,"Status & Trends","44-79","06N","09E",34,"Lapeer","6/11/07","8/15/07",-83.3762,42.88499,147104525
"06N09E3401","Big Fish Lake","MI-MSH",3528,2002,"Status & Trends","44-81","06N","09E",34,"Lapeer","5/14/02","8/20/02",-83.39093,42.88638,147104498
"06N09E3401","Big Fish Lake","MI-MSH",11294,2017,"Status & Trends","44-81","06N","09E",34,"Lapeer","5/30/17","8/16/17",-83.39093,42.88638,147104498
