"IHDID","IHDLKID","NEW_KEY","ACRES_IHD","GNIS_NAME","PERIM_KM","LAKE_CODE","STRAHLER","LINK","UP_LAKES","UP_LAKE_ACRES","DOWN_LAKES","DOWN_LAKE_ACRES","WL_KM2","UPSTREAM_CATCH"
123394532,123394532,"",15.82145798,"Tinsel Lake",1.21,3,-99,-99,-99,-99,-99,-99,0.52,0
123394543,123394543,"",8.394779429,"Paw Lake",1.05,1,2,2,0,0,1,9.565556,0.5411,1
123394557,123394557,"",6.925387991,"",0.84,3,-99,-99,-99,-99,-99,-99,0.6759,0
123394574,123394574,"",6.065148102,"Hare Pond",0.79,1,1,1,0,0,4,2451.312289,0.2655,1
123394634,123394634,"",10.0884251,"",1.65,1,1,1,1,6,3,2441.223864,0.2008,1
123394645,123394645,"",6.142333717,"Coral Lake",0.65,3,-99,-99,-99,-99,-99,-99,0.0731,0
123394651,123394651,"",7.131872217,"Sumac Lake",1.06,3,-99,-99,-99,-99,-99,-99,0.816,0
123394671,123394671,"",85.06734785,"Cup Lake",2.88,1,2,3,0,0,2,13373.74877,3.355,1
123394696,123394696,"",5.792805211,"Deer Lake",0.77,1,4,47,0,0,1,294.398634,0.0462,1
123394733,123394733,"",8.380071837,"Killdeer Lake",0.69,3,-99,-99,-99,-99,-99,-99,0.0941,0
123394784,123394784,"",7.355644076,"Bell Pond",0.76,3,-99,-99,-99,-99,-99,-99,0.894,0
123394801,123394801,"",6.41566628,"Whisper Lake",0.73,3,-99,-99,-99,-99,-99,-99,0.2519,0
123394841,123394841,"",55.43108387,"Curry Lake",2.14,3,-99,-99,-99,-99,-99,-99,0.8668,0
123394844,123394844,"",8.059827163,"Cranberry Lake",0.97,1,1,1,0,0,0,0,0.7311,1
123394855,123394855,"",11.20139969,"",0.9,1,2,2,0,0,1,294.398634,0.1132,1
123394867,123394867,"",11.39907806,"",0.91,3,-99,-99,-99,-99,-99,-99,3.0555,0
123394895,123394895,"",6.391564865,"Corpse Pond",0.85,3,-99,-99,-99,-99,-99,-99,0.2306,0
123394929,123394929,"",6.31120076,"",0.66,1,2,3,0,0,1,294.398634,0.0669,1
123394931,123394931,"",6.322570986,"Interior Lake",0.64,3,-99,-99,-99,-99,-99,-99,0.1292,0
123394943,123394943,"",7.402802236,"Beaver Pond",0.74,1,2,4,0,0,1,294.398634,0.0601,1
