"nhdid","new_key"
"123391018","31-189"
"117627203","31-184"
"105233603","52-1499"
"117627173","7-272"
"105233561","52-1471"
"105233609","52-1474"
"110734453","52-1600"
"110734547","7-158"
"110734485","7-403"
"110734413","52-1592"
"110734477","52-1606"
"110734509","7-152"
"110734407","52-1552"
"110734475","7-395"
"110734497","52-1403"
"110734471","52-1607"
"110734499","7-401"
"110734447","52-1553"
"110734451","52-1610"
"110734481","52-1412"
"110734491","7-151"
"110734501","7-404"
"110734521","7-159"
NA,"7-585"
NA,"7-410"
NA,"48-615"
NA,"52-1522"
NA,"2-761"
NA,"48-727"
NA,"48-731"
NA,"48-733"
NA,"7-437"
NA,"31-1281"
NA,"31-236"
NA,"48-521"
NA,"52-1359"
"152512184","52-1358"
"152512196","52-1378"
"152512192","52-1430"
"152512183","52-1327"
"152512185","52-1328"
"152512195","52-1375"
"109944382","48-642"
"109944718","48-342"
"109944984","2-718"
"109944428","48-673"
"109945238","2-723"
"109944768","2-784"
"109944456","48-337"
"109944734","48-394"
"109945128","2-636"
"109944540","48-328"
"109944826","2-791"
"109944334","48-274"
"109944334","48-280"
"109944266","48-597"
"109944770","48-392"
"109944288","48-275"
"109944364","48-646"
"86670827","17-612"
"86670791","17-461"
"109944526","48-339"
"109944188","48-459"
"109944358","48-640"
"109944532","48-641.1"
"109944572","48-340"
"109944446","48-332"
"86670829","17-613"
"109944360","48-634"
"109944232","48-545"
"109944390","48-330"
"109944558","48-329"
"109944594","48-660"
"109944688","48-382"
"109944788","2-566"
"109944714","48-343"
"109944716","2-782"
"109944772","48-393"
"109944564","48-664"
"109944766","48-346"
"109944956","2-481"
"109944724","48-391"
"109944740","2-785"
"109944384","48-641"
"109944752","48-347"
"109944692","48-351"
"109945392","2-720"
"109944196","48-544"
"109944726","2-783"
"109944746","48-348"
"109944780","48-395"
"109944790","2-567"
"109944864","2-486"
"109944944","2-800"
"109944994","2-577"
"109944462","48-333"
"109944584","48-341"
"109944588","48-736"
"109944224","48-547"
"109944242","48-260"
"109944304","48-290"
"109944460","48-636"
"109944522","48-327"
"109944938","2-627"
"109944480","48-334"
"109944556","48-281"
"86670841","17-450"
"86670839","48-257"
"105233685","52-1268"
"123391464","31-296"
"117627295","7-1101"
"123391394","31-266"
"105233651","52-1243"
"123391490","31-290"
"123391416","66-315"
"117627459","31-281"
"117627381","31-263"
"117627251","7-267"
"117627339","31-258"
"117627443","31-300"
"117627403","7-285"
"105233661","52-1241"
"117627411","31-261"
"105233665","52-1246"
"105233621","52-1233"
"105233649","52-1261"
"110734671","7-160"
"110734531","52-1426"
"110734589","52-1434"
"110734595","7-163"
"110734603","7-168"
"110734675","7-180"
"110734539","52-1363"
"110734563","7-176"
"110734673","7-182"
"110734517","52-1361"
"110734609","7-172"
"110734683","7-183"
"110734645","7-189"
"110734575","7-165"
"44360974","2-645"
"44361068","2-676"
"152512198","52-1379"
"152512199","52-1394"
"44360948","2-641"
"44361058","2-592"
"44361104","2-673"
"44360950","2-640"
"44360984","2-652"
"44361070","2-665"
"44361028","2-654"
"44361062","2-672"
"44360896","2-639"
"44361006","2-596"
"44360882","2-573"
"44360924","2-581"
"44360874","2-805"
"109945080","2-576"
"109944502","48-284"
"120020542","2-501"
"120020542","2-502"
"109945538","2-751"
"109944900","48-387"
"105233711","52-1252"
"109945304","2-722"
"109945068","48-362"
"109945420","2-730"
"109944810","48-300"
"109945090","48-719"
"109945282","2-518"
"109945144","2-574"
"109944970","2-485"
"109945528","2-752"
"109944488","48-283"
"109944784","48-344"
"109945062","48-369"
"109945070","48-364"
"109945402","2-727"
"109945346","2-514"
"109945172","2-575"
"109945008","2-484"
"109945052","48-396"
"109944972","48-370"
"109945146","2-500"
"109944890","48-385"
"109945164","2-509"
"109945322","2-522"
"109944850","48-384"
"117627581","31-331"
"109945084","48-361"
"109945184","2-507"
"109945140","48-359"
"109944556","48-282"
"123147547","27-1062"
"117627525","31-156"
"123147563","27-1063"
"105233771","52-1287"
"123391606","31-314"
"123391637","31-310"
"123392092","31-420"
"117627395","7-1104"
"117627583","31-165"
"117627361","7-289"
"117627469","7-295"
"117627531","31-157"
"105233717","52-1277"
"117627513","7-297"
"117627609","31-160"
"117627599","31-159"
"105233819","52-1335"
"105233719","52-1301"
"105233729","52-1275"
"105233827","52-1311"
"110734703","52-1443"
"110734709","7-194"
"110734663","52-1436"
"110734749","7-206"
"110734679","7-178"
"110734665","52-1445"
"110734721","7-197"
"110734727","7-202"
"110734859","52-1185"
"110734669","52-1446"
"110734687","52-1444"
"110734733","7-209"
"110734705","52-1448"
"44361224","2-609"
"44361566","2-748"
"152512219","52-1155"
"152512221","52-1192"
"152512218","52-1153"
"152512217","52-1152"
"152512215","52-1349"
"152512220","52-1824"
"44361320","2-616"
"44361434","2-696"
"44361572","2-742"
"44361388","2-716"
"44361214","2-613"
"44361146","2-614"
"44361280","2-694"
"44361166","2-602"
"44361166","2-600"
"44361524","2-743"
"44361292","2-612"
"44361386","2-621"
"44361260","2-624"
"44361324","2-681"
"44361346","2-617"
"44361536","2-749"
"44361142","2-589"
"44361542","2-739"
"44361208","2-611"
"44361360","2-622"
"44361472","2-735"
"44361404","2-811"
"44361392","2-623"
"44361184","2-605"
"44361202","2-688"
"44361190","2-604"
"44361242","2-683"
"44361550","75-1035"
"44361150","2-603"
"44361048","2-597"
"44361600","2-754"
"44361364","2-618"
"44361380","2-693"
"44361196","2-599"
"44361646","2-408"
"109945136","48-317"
"109945180","48-366"
"109945412","48-411"
"109945188","48-720"
"109945718","52-988"
"109945450","48-162"
"123392323","31-3"
"109945212","48-374"
"109945340","48-379"
"109945036","48-288"
"109945418","2-558"
"109945408","48-410"
"109945442","48-423"
"109945240","48-408"
"109945220","48-378"
"109945118","48-365"
"109945446","2-561"
"109945428","48-380"
"109945350","48-322"
"117627633","7-136"
"123147571","27-1169"
"109945308","2-539"
"109945142","48-367"
"109945456","48-422"
"109945430","2-562"
"123147573","27-1065"
"117627641","7-97"
"105233849","52-1320"
"123392530","66-261"
"105233839","52-1825"
"123392185","31-42"
"105233843","52-1830"
"117627577","7-88"
"105233775","52-1256"
"105233795","52-1289"
"123392114","31-41"
"123392756","66-266"
"105233765","52-1286"
"105233829","52-1288"
"117627631","31-1"
"105233831","52-1336"
"105233833","52-1831"
"105233837","52-1323"
"105233841","52-1324"
"105233733","52-1253"
"105233873","52-1066"
"105233885","52-1063"
"105233933","52-1133"
"105233853","52-1837"
"105233929","52-1064"
"110734811","7-16"
"110734793","52-1829"
"110734855","7-1102"
"110734809","7-13"
"110734755","52-1450"
"110734759","52-1187"
"110734753","7-211"
"110734879","7-23"
"110734769","7-6"
"110734831","7-5"
NA,"48-331"
NA,"7-231"
NA,"52-1234"
NA,"7-184"
NA,"31-289"
NA,"27-1154"
NA,"27-1155"
NA,"48-345"
NA,"2-799"
NA,"7-1107"
NA,"2-572"
NA,"48-350"
NA,"2-801"
NA,"2-802"
NA,"2-587"
NA,"2-643"
NA,"48-722"
NA,"2-585"
NA,"2-583"
NA,"27-1161"
NA,"27-1162"
NA,"2-525"
NA,"48-360"
NA,"48-358"
NA,"48-401"
NA,"2-798"
NA,"2-736"
NA,"2-553"
NA,"2-556"
NA,"48-377"
NA,"2-685"
NA,"2-551"
NA,"2-559"
NA,"2-550"
NA,"2-757"
NA,"2-740"
NA,"75-1049"
NA,"52-1819"
NA,"52-1075"
NA,"48-205"
NA,"17-619"
NA,"52-1074"
NA,"52-1095"
NA,"17-387"
NA,"17-624"
NA,"52-1093"
NA,"48-226"
NA,"17-386"
NA,"2-449"
NA,"48-230"
"152512227","52-1018"
"152512230","52-1193"
"152512238","52-1024"
"44361630","75-950"
"152512224","52-1161"
"152512225","52-1820"
"152512229","52-1164"
"44361896","75-1019"
"152512243","52-1112"
"152512235","52-1194"
"152512223","52-1138"
"44361538","75-937"
"152512232","52-1166"
"152512231","52-1087"
"152512222","52-1154"
"152512234","52-1088"
"152512234","52-1086"
"152512248","52-1113"
"152512237","52-1027"
"152512228","52-1167"
"152512239","52-1028"
"44361778","75-1048"
"44361448","75-922"
"44361900","75-1103"
"44361792","75-1002"
"44361934","75-1068"
"44361668","75-948"
"44361784","75-1041"
"44361400","75-936"
"44361692","75-959"
"44361680","75-997"
"44361454","75-942"
"44361618","75-947"
"44361962","75-1066"
"44361882","75-1054"
"44361460","75-923"
"44361774","75-971"
"44361926","75-1061"
"44361834","75-1006"
"44361605","75-917"
"44361684","75-1046"
"44361734","75-927"
"44361786","75-1000"
"44361810","75-953"
"44361720","75-1043"
"44361740","75-946"
"44361338","75-915"
"44361914","75-1018"
"44361352","2-626"
"44361656","75-992"
"44361808","2-411"
"44361754","2-409"
"44361800","2-410"
"109945786","52-968"
"86671079","48-223"
"86671165","48-173"
"109945686","2-461"
"83826109","17-427"
"109945688","2-474"
"109945804","52-951"
"83826083","17-403"
"86671053","48-222"
"86671121","48-170"
"109945724","2-464"
"83826087","17-404"
"86671049","48-166"
"109945700","2-810"
"109945514","48-163"
"86671069","48-213"
"86670997","48-207"
"86671045","48-212"
"109945884","52-975"
"109945572","2-413"
"86671025","48-214"
"86671067","48-141"
"86671105","48-217"
"109945626","2-439"
"117627685","31-24"
"109945792","52-944"
"109945910","52-1859"
"105233863","52-989"
"109945518","48-135"
"105233891","52-994"
"109945776","52-1809"
"86671127","48-218"
"86671099","48-220"
"86671033","48-139"
"86671039","48-210"
"86671039","48-215"
"86670971","48-208"
"120018799","48-225"
"86671041","48-204"
"86671123","48-224"
"86671085","48-164"
"86671029","48-211"
"86671095","48-221"
"86671125","48-219"
"86671065","48-206"
"86670983","48-120"
"86671089","48-216"
"86670995","48-201"
"123393017","66-236"
"120018800","48-232"
"83826085","17-395"
"83826101","17-548"
"83826095","17-604"
"83826097","17-605"
"117627667","31-7"
"123392915","66-271"
"123392450","31-51"
"105233865","52-991"
"123392716","31-34"
"123392889","66-293"
"123392747","31-65"
"123392688","31-60"
"123393046","66-277"
"123392638","31-13"
"123393003","66-275"
"123392767","31-111"
"123392775","66-272"
"105233911","52-1022"
"105233991","52-1079"
"105233961","52-1067"
"105234001","52-1081"
"110734931","7-19"
"110735039","7-69"
"110734985","52-1210"
"110734907","7-17"
"110735035","7-40"
"110734915","52-1195"
"111859761","7-132"
"111859753","7-103"
"111859783","7-133"
"152512255","52-1171"
"44362100","75-1034"
"152512302","52-1853"
"152512271","52-1114"
"44362082","75-1078"
"152512253","52-1211"
"152512268","52-1805"
"152512282","52-1850"
"152512292","52-1181"
"152512297","52-1828"
"152512254","52-1109"
"152512261","52-1842"
"152512288","52-1815"
"152512267","52-1178"
"152512291","52-996"
"152512262","52-1180"
"152512262","52-1838"
"152512303","52-1050"
"152512298","52-1814"
"152512293","52-1124"
"152512306","52-1810"
"44362012","75-1065"
"44361968","75-968"
"44361998","75-1063"
"44361888","75-963"
"44361990","75-1097"
"44362044","75-1031"
"44361766","75-1087"
"44362038","75-1025"
"44361806","75-1105"
"44362040","75-1079"
"44361938","75-1017"
"44361960","75-1020"
"44361944","75-966"
"44361922","75-1014"
"44361852","75-962"
"44361950","75-1011"
"44362018","75-1069"
"44362030","75-1030"
"86671107","48-140"
"86671333","48-248"
"86671217","48-227"
"86671353","48-246"
"109945694","2-806"
"109945712","2-807"
"86671325","48-249"
"86671343","48-175"
"86671207","48-142"
"86671255","48-239"
"86671161","48-171"
"117627709","36-1488"
"123393006","31-84"
"86671365","48-250"
"86671181","48-172"
"86671285","48-242"
"86671411","48-197"
"86671257","48-228"
"86671077","48-138"
"86671349","48-244"
"109945740","2-468"
"109945708","2-443"
"109945744","2-809"
"109945692","2-445"
"109945852","2-450"
"109946030","2-478"
"109946160","52-997"
"109945924","52-983"
"109945654","2-425"
"86671177","48-169"
"86671305","48-240"
"86671327","48-247"
"86671339","48-185"
"86671329","48-154"
"86671157","48-122"
"86671355","48-192"
"86671311","48-245"
"86671117","48-737"
"86671295","48-155"
"86671183","48-131"
"86671369","48-191"
"86671373","48-190"
"86671087","48-127"
"86671175","48-181"
"83826219","17-413"
"83826149","17-417"
"83826223","17-420"
"83826091","17-396"
"83826165","17-409"
"123147641","27-1026"
"123393216","36-1638"
"123393299","66-25"
"123393242","36-1854"
"123394671","27-948"
"123393319","36-1651"
"123393023","31-1268"
"123393077","36-1547"
"117627713","36-1490"
"123393250","66-12"
"123393168","36-1570"
"123392972","31-142"
"123393105","36-1556"
"117627707","36-1491"
"123393857","66-145"
"123393009","31-140"
"123393060","36-1572"
"123392940","31-141"
"123394087","66-619"
"123393108","36-1548"
"123393919","66-40"
"123394248","66-31"
"117627695","31-29"
"110735121","7-57"
"110735063","7-80"
"110735097","52-1223"
"110735335","36-1346"
"111859785","7-134"
"111859809","36-1353"
"111859821","36-1390"
"111859787","7-85"
"152512334","52-1813"
"152512326","52-807"
"152512327","52-808"
"152512333","52-1835"
"152512322","52-851"
"152512316","52-1841"
"152512318","52-1840"
"152512328","52-710.1"
"152512307","52-755"
"44362312","2-300"
"44362212","75-833"
"83826197","17-599"
"86671397","48-724"
"86671467","48-78"
"86671477","48-252"
"86671421","48-61"
"86671463","48-253"
"109946166","2-405"
"123394263","36-2063"
"86671501","48-89"
"83826241","17-423"
"86671483","48-714"
"86671457","48-713"
"123394280","36-2031"
"109946024","2-360"
"123147737","27-946.1"
"123393310","36-1639"
"109946004","2-359"
"109946060","2-362"
"109946126","2-401"
"109946172","2-361"
"109946050","2-343"
"86671451","48-72"
"86671429","48-718"
"123394651","66-85"
"123394375","66-88"
"123394426","66-91"
"86671379","48-70"
"83826227","17-321"
"83826235","17-340"
"123147668","27-1016"
"123147643","27-980"
"123147649","27-981"
"123147656","27-1012"
"123394302","36-2062"
"123394464","66-175"
"123394364","36-2018"
"123393219","36-1500"
"123394022","36-1685"
"123394005","36-1953"
"123393874","36-1513"
"123395368","27-976"
"123394855","27-1168"
"123394171","66-165"
"123394353","36-2017"
"123394039","36-1978"
"123394288","66-172"
"123395415","27-979"
"123394268","36-2019"
"123394850","66-209"
"123394260","36-2003"
"123394696","66-207"
"123393860","36-1932"
"123393732","36-1635"
"123394118","66-162"
"123393761","36-1931"
"123394245","36-1966"
"123393951","36-1936"
"117627725","36-1502"
"117627737","36-1529"
"110735183","52-846"
"110735253","52-1823"
"110735281","52-1816"
"110735243","52-847"
"110735435","36-1360"
"110735181","52-840"
"111859869","36-1468"
"111859865","36-1473"
"111859847","36-1401"
"111859835","36-2154"
"111859857","36-1400"
"111859947","36-2053"
"152512346","52-1851"
"152512347","52-1833"
"152512348","52-777"
"152512345","52-714"
"152512354","52-1834"
"152512342","52-1827"
"152512336","52-811"
"152512353","52-812"
"109946068","2-808"
"123147725","27-885"
"83826281","17-573"
"109946152","2-347"
"109946098","2-340"
"123147718","27-886"
"109946188","2-387"
"123147727","27-889"
"123147695","27-818"
"123147709","27-1165"
"123147729","27-883"
"109946018","2-331"
"109946340","52-700"
"123395113","66-119"
"123147701","27-819"
"109946176","2-383"
"109946190","2-386"
"109946090","2-332"
"86671253","17-329"
"86671229","17-328"
"86671547","48-80"
"123147720","27-887"
"123147677","27-984"
"83826273","17-319"
"83826269","17-572"
"123147722","27-821"
"123147768","27-896"
"123147707","27-888"
"123147792","27-935"
"123147691","27-812"
"123147724","27-933"
"123394867","36-2120"
"123394574","66-93"
"123394784","66-101"
"123394980","66-118"
"123395093","66-123"
"123395016","66-136"
"123395571","66-614"
"123394943","66-190"
"123395548","66-223"
"123395554","66-222"
"123394401","36-2060"
"123395502","66-219"
"123395682","27-1164"
"123395423","27-512"
"123394801","36-2102"
"123395599","27-965"
"123394532","36-2012"
"123395981","27-746"
"123395384","66-215"
"123394931","66-111"
"123395671","27-622"
"123394543","36-2024"
"123395051","66-122"
"123394841","36-2097"
"123394645","66-103"
"123394895","66-137"
"123396012","27-740"
"123394733","36-2093"
"117627733","36-1528"
"110735353","52-863"
"110735357","52-861"
"110735421","52-913"
"110735333","52-865"
"110735397","52-1808"
"110735401","52-1848"
"110735495","36-1368"
"110735373","52-915"
"110735343","52-914"
"110735371","52-1818"
"110735403","52-1821"
"110735327","52-859"
"111859965","36-1769"
"111860005","36-1768"
"111860053","36-1760"
"111859993","36-2068"
"111860081","36-2066"
"111859951","36-1480"
"111860097","36-1794"
"111860041","36-2072"
"111860119","36-2067"
"111860039","36-2083"
"111860145","36-2077"
"111859917","36-1758"
"111860067","36-2078"
"111860055","36-2084"
"111859967","36-2047"
"111860035","36-2158"
"111860117","36-1799"
"111860091","36-2069"
"111859913","36-1744"
"111860017","36-1781"
"111860001","36-2074"
"111860009","36-2073"
"111859877","36-1419"
"44362318","48-110"
"44362588","2-336"
"152512368","52-821"
"152512379","52-823"
"123110420","17-327"
"123110426","17-323"
"123110416","17-331"
"123110418","17-334"
"123147735","27-825"
"109946486","52-710"
"123147761","27-892"
"123147745","27-909"
"86671603","48-66"
"109946252","2-372"
"86671435","17-333"
"123395992","27-624"
"109946170","2-353"
"123147749","27-748"
"109946290","2-373"
"86671755","48-105"
"123147852","27-945"
"123395611","36-1194"
"123395128","36-2117"
"123147855","27-916"
"123147771","27-913"
"123147744","27-749"
"123147775","27-903"
"123147766","27-911"
"123147847","27-944"
"123395770","27-616"
"123147743","27-822"
"123396073","27-693"
"117627755","36-2156"
"123147813","27-914"
"123395801","27-686"
"123395631","27-364"
"123396018","27-623"
"123396104","27-520"
"123396410","27-626"
"123395705","27-619"
"123395434","27-363"
"123395759","27-618"
"117627757","36-1019"
"123395654","27-515"
"123396004","27-1173"
"123396195","27-517"
"123395751","27-620"
"123395785","27-621"
"123395657","27-368"
"123395412","36-1177"
"123395660","27-369"
"123395765","27-367"
"117627761","36-1017"
"117627749","36-1541"
"117627753","36-1542"
"110735509","52-931"
"110735439","52-871"
