"Survey_Number","Year","SECCHI_FT","New_Key"
10744,2015,13.5,"69-78"
10761,2016,13.5,"37-110"
10762,2016,9.2,"37-111"
10765,2016,8.7,"65-63"
10768,2016,17.8,"73-78"
10932,2016,9,"49-127"
10950,2016,12,"4-16"
10955,2016,7,"71-154"
10957,2016,9.8,"35-200"
10964,2016,12,"30-259"
10975,2016,14,"63-871"
10979,2016,17,"27-97"
10980,2016,6.7,"37-112"
10987,2016,15,"10-66"
10988,2016,8.2,"35-105"
11012,2016,14.5,"61-109"
11036,2016,7,"34-73"
11037,2016,12,"3-153"
11038,2016,11,"30-222"
11053,2016,5.5,"64-251"
11138,2016,3.5,"27-1026"
11140,2016,6,"7-183"
11143,2016,6,"21-454"
11146,2016,4,"7-272"
11294,2017,11.3,"44-81"
11333,2017,3,"75-1078"
11363,2017,8.6,"35-109"
11364,2017,7.7,"35-4"
11368,2017,3.5,"82-235"
11374,2017,12,"16-192"
11377,2017,4,"20-28"
11381,2017,9.1,"37-120"
11384,2017,12.5,"65-10"
11385,2017,14.8,"26-53"
11388,2017,13,"54-90"
11439,2017,7,"18-125"
11454,2017,5,"52-1185"
11456,2017,9,"36-2"
11457,2017,4.5,"52-1246"
11458,2017,8,"42-86"
11499,2017,16,"78-130"
11502,2017,5.5,"38-381"
11601,2018,2.5,"2-567"
11658,2018,8.5,"63-1692"
11659,2018,10,"47-379"
11688,2018,4,"35-54"
11689,2018,9.8,"35-104"
11691,2018,1.8,"26-2"
11692,2018,15,"26-20"
11725,2018,7.7,"60-208"
11729,2018,11.7,"35-176"
11733,2018,27.5,"5-51"
11734,2018,18,"16-1337"
11738,2018,8,"81-179"
11745,2018,20.2,"20-76"
11746,2018,11.1,"65-48"
11779,2018,11.5,"22-236"
11780,2018,13,"36-1536"
11781,2018,15,"52-846"
11782,2018,7,"52-839"
11784,2018,4,"21-257"
11908,2018,8,"8-623"
11914,2018,7.5,"30-278"
11982,2019,11.3,"47-472"
12009,2019,15.2,"18-6"
12011,2019,7.1,"35-9"
12013,2019,3.1,"65-60"
12014,2019,24,"69-92"
12015,2019,8.1,"65-79"
12016,2019,15.8,"35-96"
12019,2019,14,"65-161"
12020,2019,8.7,"24-27"
12027,2019,6.3,"62-158"
12034,2019,6,"24-204"
12044,2019,17,"36-132"
12046,2019,6,"7-540"
12047,2019,4,"31-1164"
12048,2019,15,"36-132"
12071,2019,8,"22-123"
12072,2019,10,"66-293"
12103,2019,13,"48-49"
12104,2019,8,"21-479"
12105,2019,14,"17-403"
12106,2019,13,"48-566"
12107,2019,9,"2-461"
12109,2019,11,"75-47"
12144,2019,8,"48-24"
12154,2019,14,"48-223"
12177,2019,5,"81-376"
12242,2019,10,"52-1268"
12423,2020,13,"75-927"
12471,2020,7,"48-583"
